fecha,year,month,day_of_week,is_weekend,ingresos,transacciones,ticket_promedio,descuentos,propinas
2024-05-31,2024,5,Friday,False,468100,70,6687.142857142857,1465,0
2024-06-01,2024,6,Saturday,True,570000,77,7402.597402597403,6000,0
2024-06-03,2024,6,Monday,False,207700,35,5934.285714285715,0,0
2024-06-04,2024,6,Tuesday,False,463513,72,6437.680555555556,930,0
2024-06-05,2024,6,Wednesday,False,254410,45,5653.555555555556,6938,0
2024-06-06,2024,6,Thursday,False,422728,72,5871.222222222223,420,0
2024-06-07,2024,6,Friday,False,462275,80,5778.4375,10,0
2024-06-08,2024,6,Saturday,True,203300,31,6558.064516129032,0,0
2024-06-10,2024,6,Monday,False,284357,49,5803.2040816326535,20,0
2024-06-11,2024,6,Tuesday,False,321280,37,8683.243243243243,5000,1450
2024-06-12,2024,6,Wednesday,False,217300,22,9877.272727272728,6000,0
2024-06-13,2024,6,Thursday,False,357620,52,6877.307692307692,5,0
2024-06-14,2024,6,Friday,False,399556,57,7009.754385964912,5,200
2024-06-15,2024,6,Saturday,True,575081,66,8713.348484848484,8000,1540
2024-06-16,2024,6,Sunday,True,9219,3,3073.0,30,0
2024-06-17,2024,6,Monday,False,406443,61,6663.0,0,3520
2024-06-18,2024,6,Tuesday,False,569829,94,6062.010638297872,200,6220
2024-06-19,2024,6,Wednesday,False,533039,65,8200.6,6000,7350
2024-06-20,2024,6,Thursday,False,347241,43,8075.372093023256,0,2610
2024-06-21,2024,6,Friday,False,466678,63,7407.587301587301,0,11070
2024-06-22,2024,6,Saturday,True,670900,84,7986.9047619047615,6000,13240
2024-06-23,2024,6,Sunday,True,4500,1,4500.0,0,0
2024-06-24,2024,6,Monday,False,399900,52,7690.384615384615,0,16160
2024-06-25,2024,6,Tuesday,False,541759,69,7851.579710144928,0,16240
2024-06-26,2024,6,Wednesday,False,398606,64,6228.21875,700,7660
2024-06-27,2024,6,Thursday,False,442871,60,7381.183333333333,7101,7530
2024-06-28,2024,6,Friday,False,639998,77,8311.662337662337,0,10330
2024-06-29,2024,6,Saturday,True,541600,49,11053.061224489797,8920,16120
2024-06-30,2024,6,Sunday,True,210030,23,9131.739130434782,0,10440
2024-07-01,2024,7,Monday,False,439500,57,7710.526315789473,0,8200
2024-07-02,2024,7,Tuesday,False,598560,71,8430.422535211268,1720,12460
2024-07-03,2024,7,Wednesday,False,539600,71,7600.0,6501,0
2024-07-04,2024,7,Thursday,False,479800,65,7381.538461538462,0,0
2024-07-05,2024,7,Friday,False,574770,67,8578.65671641791,4940,0
2024-07-06,2024,7,Saturday,True,426100,43,9909.302325581395,0,0
2024-07-07,2024,7,Sunday,True,219400,23,9539.130434782608,6000,2860
2024-07-08,2024,7,Monday,False,363712,60,6061.866666666667,0,0
2024-07-09,2024,7,Tuesday,False,375960,55,6835.636363636364,0,0
2024-07-10,2024,7,Wednesday,False,368079,57,6457.526315789473,11,0
2024-07-11,2024,7,Thursday,False,442367,59,7497.745762711865,6001,2870
2024-07-12,2024,7,Friday,False,484050,64,7563.28125,0,0
2024-07-13,2024,7,Saturday,True,441600,51,8658.823529411764,0,0
2024-07-14,2024,7,Sunday,True,67130,11,6102.727272727273,1200,0
2024-07-15,2024,7,Monday,False,454062,67,6777.044776119403,0,1420
2024-07-16,2024,7,Tuesday,False,528481,49,10785.326530612245,0,1150
2024-07-17,2024,7,Wednesday,False,345993,55,6290.781818181818,0,0
2024-07-18,2024,7,Thursday,False,437660,67,6532.238805970149,1581,0
2024-07-19,2024,7,Friday,False,500632,64,7822.375,0,0
2024-07-20,2024,7,Saturday,True,540960,66,8196.363636363636,0,0
2024-07-21,2024,7,Sunday,True,274700,24,11445.833333333334,0,0
2024-07-22,2024,7,Monday,False,368800,56,6585.714285714285,0,0
2024-07-23,2024,7,Tuesday,False,437000,64,6828.125,0,0
2024-07-24,2024,7,Wednesday,False,415427,56,7418.339285714285,2540,1020
2024-07-25,2024,7,Thursday,False,357782,58,6168.6551724137935,0,0
2024-07-26,2024,7,Friday,False,404224,49,8249.469387755102,0,0
2024-07-27,2024,7,Saturday,True,535934,70,7656.2,0,0
2024-07-28,2024,7,Sunday,True,152500,19,8026.315789473684,0,0
2024-07-29,2024,7,Monday,False,315310,49,6434.897959183673,2,0
2024-07-30,2024,7,Tuesday,False,480022,51,9412.196078431372,1190,1040
2024-07-31,2024,7,Wednesday,False,341370,52,6564.807692307692,0,720
2024-08-01,2024,8,Thursday,False,176520,21,8405.714285714286,0,0
2024-08-02,2024,8,Friday,False,600525,63,9532.142857142857,0,0
2024-08-03,2024,8,Saturday,True,445394,52,8565.26923076923,0,0
2024-08-04,2024,8,Sunday,True,170800,22,7763.636363636364,0,0
2024-08-05,2024,8,Monday,False,360510,52,6932.884615384615,1392,0
2024-08-06,2024,8,Tuesday,False,447790,56,7996.25,0,0
2024-08-07,2024,8,Wednesday,False,310132,44,7048.454545454545,0,0
2024-08-08,2024,8,Thursday,False,395553,60,6592.55,0,0
2024-08-09,2024,8,Friday,False,382016,57,6702.035087719299,0,0
2024-08-10,2024,8,Saturday,True,591194,68,8694.029411764706,0,2240
2024-08-11,2024,8,Sunday,True,233110,27,8633.703703703704,1920,3640
2024-08-12,2024,8,Monday,False,363400,54,6729.62962962963,0,3260
2024-08-13,2024,8,Tuesday,False,407460,58,7025.172413793103,0,0
2024-08-14,2024,8,Wednesday,False,436645,66,6615.833333333333,0,0
2024-08-15,2024,8,Thursday,False,543500,65,8361.538461538461,0,5000
2024-08-16,2024,8,Friday,False,568509,76,7480.381578947368,1550,0
2024-08-17,2024,8,Saturday,True,148800,21,7085.714285714285,0,7150
2024-08-19,2024,8,Monday,False,221200,35,6320.0,0,3210
2024-08-20,2024,8,Tuesday,False,308016,55,5600.290909090909,0,0
2024-08-21,2024,8,Wednesday,False,327497,54,6064.759259259259,0,0
2024-08-22,2024,8,Thursday,False,488380,67,7289.253731343284,6000,10030
2024-08-23,2024,8,Friday,False,388399,62,6264.5,0,1150
2024-08-24,2024,8,Saturday,True,455104,65,7001.6,0,2580
2024-08-26,2024,8,Monday,False,165100,28,5896.428571428572,0,3360
2024-08-27,2024,8,Tuesday,False,461650,64,7213.28125,0,0
2024-08-28,2024,8,Wednesday,False,465172,71,6551.718309859155,0,0
2024-08-29,2024,8,Thursday,False,328500,58,5663.793103448276,0,4530
2024-08-30,2024,8,Friday,False,366038,52,7039.192307692308,0,0
2024-08-31,2024,8,Saturday,True,901391,83,10860.132530120482,0,3580
2024-09-02,2024,9,Monday,False,230100,43,5351.162790697675,0,1070
2024-09-03,2024,9,Tuesday,False,376030,49,7674.081632653061,0,0
2024-09-04,2024,9,Wednesday,False,389590,60,6493.166666666667,0,0
2024-09-05,2024,9,Thursday,False,401597,66,6084.80303030303,0,2510
2024-09-06,2024,9,Friday,False,455392,67,6796.895522388059,0,0
2024-09-07,2024,9,Saturday,True,503800,64,7871.875,0,3160
2024-09-09,2024,9,Monday,False,232700,35,6648.571428571428,0,6580
2024-09-10,2024,9,Tuesday,False,233299,46,5071.717391304348,0,0
2024-09-11,2024,9,Wednesday,False,447950,52,8614.423076923076,0,1370
2024-09-12,2024,9,Thursday,False,343400,47,7306.382978723404,0,5140
2024-09-13,2024,9,Friday,False,386371,61,6333.950819672131,0,0
2024-09-14,2024,9,Saturday,True,416074,57,7299.543859649123,0,2150
2024-09-16,2024,9,Monday,False,370465,41,9035.731707317073,0,6810
2024-09-17,2024,9,Tuesday,False,307560,37,8312.432432432432,600,0
2024-09-20,2024,9,Friday,False,81500,12,6791.666666666667,0,0
2024-09-21,2024,9,Saturday,True,214400,31,6916.129032258064,0,2690
2024-09-23,2024,9,Monday,False,202718,45,4504.844444444445,0,2830
2024-09-24,2024,9,Tuesday,False,366396,53,6913.132075471698,0,0
2024-09-25,2024,9,Wednesday,False,308609,50,6172.18,0,0
2024-09-26,2024,9,Thursday,False,372241,59,6309.169491525424,0,0
2024-09-27,2024,9,Friday,False,527966,85,6211.364705882353,0,0
2024-09-28,2024,9,Saturday,True,400400,46,8704.347826086956,0,0
2024-09-30,2024,9,Monday,False,170200,28,6078.571428571428,0,3290
2024-10-01,2024,10,Tuesday,False,553190,57,9705.087719298246,0,0
2024-10-02,2024,10,Wednesday,False,325600,35,9302.857142857143,0,0
2024-10-03,2024,10,Thursday,False,215600,38,5673.684210526316,0,5950
2024-10-04,2024,10,Friday,False,294300,40,7357.5,0,1360
2024-10-05,2024,10,Saturday,True,242100,35,6917.142857142857,0,1170
2024-10-07,2024,10,Monday,False,125600,20,6280.0,0,3570
2024-10-08,2024,10,Tuesday,False,62400,10,6240.0,0,0
2024-10-09,2024,10,Wednesday,False,101800,22,4627.272727272727,0,0
2024-10-10,2024,10,Thursday,False,292500,47,6223.404255319149,100,8990
2024-10-11,2024,10,Friday,False,340180,33,10308.484848484848,0,0
2024-10-12,2024,10,Saturday,True,274700,29,9472.413793103447,0,7870
2024-10-14,2024,10,Monday,False,208650,28,7451.785714285715,0,4370
2024-10-15,2024,10,Tuesday,False,175500,22,7977.272727272727,0,0
2024-10-16,2024,10,Wednesday,False,356340,35,10181.142857142857,0,0
2024-10-17,2024,10,Thursday,False,268200,38,7057.894736842105,0,4210
2024-10-18,2024,10,Friday,False,357100,39,9156.410256410256,0,0
2024-10-19,2024,10,Saturday,True,272200,33,8248.484848484848,0,16860
2024-10-21,2024,10,Monday,False,356800,38,9389.473684210527,0,10410
2024-10-22,2024,10,Tuesday,False,269100,31,8680.645161290322,0,1700
2024-10-23,2024,10,Wednesday,False,317500,36,8819.444444444445,0,0
2024-10-24,2024,10,Thursday,False,429140,48,8940.416666666666,0,15320
2024-10-25,2024,10,Friday,False,385500,47,8202.127659574468,0,0
2024-10-26,2024,10,Saturday,True,334800,35,9565.714285714286,0,7720
2024-10-28,2024,10,Monday,False,254700,26,9796.153846153846,0,9020
2024-10-29,2024,10,Tuesday,False,134800,25,5392.0,0,0
2024-10-30,2024,10,Wednesday,False,279450,46,6075.0,600,0
2024-10-31,2024,10,Thursday,False,351900,34,10350.0,0,15790
2024-11-01,2024,11,Friday,False,208900,25,8356.0,0,0
2024-11-02,2024,11,Saturday,True,374400,35,10697.142857142857,0,2870
2024-11-04,2024,11,Monday,False,331000,47,7042.553191489362,0,7530
2024-11-05,2024,11,Tuesday,False,244400,27,9051.851851851852,0,0
2024-11-06,2024,11,Wednesday,False,242500,33,7348.484848484848,0,0
2024-11-07,2024,11,Thursday,False,174100,29,6003.448275862069,0,4060
2024-11-08,2024,11,Friday,False,394400,40,9860.0,0,0
2024-11-09,2024,11,Saturday,True,277400,28,9907.142857142857,0,0
2024-11-11,2024,11,Monday,False,150800,28,5385.714285714285,0,2990
2024-11-12,2024,11,Tuesday,False,214100,26,8234.615384615385,0,0
2024-11-13,2024,11,Wednesday,False,207400,26,7976.923076923077,0,0
2024-11-14,2024,11,Thursday,False,213300,31,6880.645161290323,0,0
2024-11-15,2024,11,Friday,False,120000,22,5454.545454545455,0,0
2024-11-16,2024,11,Saturday,True,229800,17,13517.64705882353,0,0
2024-11-19,2024,11,Tuesday,False,193400,28,6907.142857142857,0,0
2024-11-20,2024,11,Wednesday,False,131500,23,5717.391304347826,0,0
2024-11-21,2024,11,Thursday,False,184700,29,6368.9655172413795,0,5890
2024-11-22,2024,11,Friday,False,228400,33,6921.212121212121,0,0
2024-11-23,2024,11,Saturday,True,202800,24,8450.0,0,6600
2024-11-25,2024,11,Monday,False,194400,28,6942.857142857143,0,5400
2024-11-26,2024,11,Tuesday,False,259800,33,7872.727272727273,0,0
2024-11-27,2024,11,Wednesday,False,207300,35,5922.857142857143,0,0
2024-11-28,2024,11,Thursday,False,151900,23,6604.347826086957,0,0
2024-11-29,2024,11,Friday,False,241900,28,8639.285714285714,0,0
2024-11-30,2024,11,Saturday,True,248500,30,8283.333333333334,0,5270
2024-12-01,2024,12,Sunday,True,42000,1,42000.0,0,0
2024-12-02,2024,12,Monday,False,295700,39,7582.051282051282,0,2930
2024-12-03,2024,12,Tuesday,False,245500,30,8183.333333333333,0,0
2024-12-04,2024,12,Wednesday,False,213400,35,6097.142857142857,0,0
2024-12-05,2024,12,Thursday,False,173300,30,5776.666666666667,0,4460
2024-12-06,2024,12,Friday,False,300400,37,8118.918918918919,0,0
2024-12-07,2024,12,Saturday,True,264370,31,8528.064516129032,0,3270
2024-12-09,2024,12,Monday,False,293300,37,7927.027027027027,0,5120
2024-12-10,2024,12,Tuesday,False,251200,23,10921.739130434782,0,0
2024-12-11,2024,12,Wednesday,False,156500,18,8694.444444444445,0,0
2024-12-12,2024,12,Thursday,False,156500,21,7452.380952380952,0,0
2024-12-13,2024,12,Friday,False,420900,43,9788.372093023256,0,8760
2024-12-14,2024,12,Saturday,True,165899,26,6380.7307692307695,0,3250
2024-12-16,2024,12,Monday,False,232700,27,8618.518518518518,0,4100
2024-12-17,2024,12,Tuesday,False,233600,36,6488.888888888889,0,6760
2024-12-18,2024,12,Wednesday,False,320470,36,8901.944444444445,0,7440
2024-12-19,2024,12,Thursday,False,206300,36,5730.555555555556,1700,4110
2024-12-20,2024,12,Friday,False,251000,32,7843.75,0,3990
2024-12-21,2024,12,Saturday,True,78000,11,7090.909090909091,0,2350
2024-12-23,2024,12,Monday,False,132600,24,5525.0,0,2490
2024-12-24,2024,12,Tuesday,False,102000,18,5666.666666666667,0,600
2024-12-26,2024,12,Thursday,False,298000,17,17529.41176470588,0,3640
2024-12-27,2024,12,Friday,False,191000,26,7346.153846153846,0,3510
2024-12-28,2024,12,Saturday,True,146300,21,6966.666666666667,0,7420
2024-12-30,2024,12,Monday,False,199740,34,5874.705882352941,3360,5450
2024-12-31,2024,12,Tuesday,False,88000,10,8800.0,0,3290
