producto,seccion,cantidad,ingresos_totales,precio_promedio,n_transacciones,menu_mix_pct,clasificacion_menu
Matcha roll cake x mayor,Pastelería x mayor,11,187200,17018,6,0.043,Interrogante
Batards x mayor,Panadería x mayor,211,179350,850,29,0.826,Caballo de Trabajo
Hojicha latte,Té - Infusiones,39,140300,3597,38,0.153,Perro
Anpan,Panadería Japonesa,73,136380,1874,59,0.286,Perro
Oferta ciabatta,Ofertas,51,134300,2633,48,0.2,Perro
TOKYO BOX waku waku set,Sandwich,10,131000,13100,10,0.039,Interrogante
Bebida pokémon,Otros bebestibles,33,121800,3691,33,0.129,Perro
Espresso,Café,60,119880,2000,57,0.235,Perro
Matcha roll cake x mayor,Pastelería japonesa,12,106800,8900,2,0.047,Interrogante
Oferta menú del día + bebestible,Ofertas,17,102000,6000,13,0.067,Interrogante
Brioche pan,Panadería Japonesa,36,100800,2800,31,0.141,Perro
Oferta pan viennoise,Ofertas,36,97200,2700,35,0.141,Perro
En pan baguette,Sandwich,22,89470,4200,21,0.086,Perro
Pan molde linaza x mayor,Panadería x mayor,38,87400,2300,14,0.149,Perro
Yakisoba pan,Panadería Japonesa,24,83780,3500,22,0.094,Perro
Batard,Panadería artesanal,84,83000,1000,59,0.329,Perro
SANDWICH DEL DÍA,Ofertas,18,82500,4583,10,0.07,Interrogante
PROMO EVENTOS,PROMOCIÓN EVENTO,16,80000,5000,1,0.063,Interrogante
Castella,Pastelería japonesa,53,79340,1500,45,0.207,Perro
Tokyo box 3,Ofertas,7,77000,11000,7,0.027,Interrogante
Carrot Cake Stevia,Pastelería tradicional,3,76800,25600,3,0.012,Interrogante
Galleton relleno (Sabores) libre de azucar,Pastelería x mayor,50,75000,1500,2,0.196,Perro
Matcha tiramisú,Pastelería de autor,26,72800,2800,22,0.102,Perro
Torta de manjar y nueces,Pastelería tradicional,24,67570,2817,20,0.094,Perro
Oferta Melonpan x 4 und,Ofertas,15,64500,4300,15,0.059,Perro
Oferta Cinnamon roll,Ofertas,16,63900,4000,15,0.063,Perro
En pan brioche,Sandwich,14,58500,4179,14,0.055,Perro
OFERTA Pajaritos,Panadería de autor,14,56000,4000,13,0.055,Perro
Aguas saborizadas,Otros bebestibles,37,55000,1532,36,0.145,Perro
Espresso ginger,Preparaciones frías con café,14,53200,3800,13,0.055,Perro
Brioche,Panadería artesanal,103,51180,500,29,0.403,Perro
Baguette x mayor,Panadería x mayor,60,51000,850,11,0.235,Perro
Carrot cake sin azúcar,Pastelería tradicional,15,48000,3200,13,0.059,Perro
Cotton Cheesecake xl,Pastelería japonesa,8,47200,5900,8,0.031,Interrogante
Pan molde blanco grande x mayor,Panadería x mayor,18,42840,2380,14,0.07,Perro
Pan artesanal,Panadería artesanal,35,42500,1214,28,0.137,Perro
Neko red velvet,Pastelería de autor,14,42000,3000,11,0.055,Perro
Carrot Cake x 20,Pastelería x mayor,1,42000,42000,1,0.004,Interrogante
Mochis,Pastelería japonesa,20,41779,2090,20,0.078,Perro
Croquembouche,Ofertas,4,40000,10000,3,0.016,Interrogante
Galleton Mantequilla de mani,Pastelería x mayor,25,37500,1500,2,0.098,Perro
Galleton relleno ( sabores) 170 gr.,Pastelería x mayor,25,37500,1500,2,0.098,Perro
Café OKF,Otros bebestibles,16,35290,2256,16,0.063,Perro
Oferta frappuccino,Ofertas,11,35200,3200,5,0.043,Perro
Oferta Latte,Ofertas,13,33280,2560,9,0.051,Perro
STRAWBERRRY spice Frappuccino,Frappé,8,32000,4000,8,0.031,Perro
Pan de osito,Panadería de autor,9,31500,3500,6,0.035,Perro
Oferta baguette,Ofertas,19,30400,1600,16,0.074,Perro
Marraqueta (envasada),Panadería artesanal,21,30250,1450,13,0.082,Perro
Melonpan helado,Pastelería de autor,11,28500,2591,11,0.043,Perro
Torta de chocolate naranja,Pastelería tradicional,10,27999,2800,10,0.039,Perro
Oferta berlin,Ofertas,10,27900,2800,7,0.039,Perro
Sausage pan XL,Panadería Japonesa,6,25000,4167,6,0.023,Perro
Torta Chocolate blanco frambuesa,Pastelería tradicional,1,22400,22400,1,0.004,Interrogante
Jugos,Otros bebestibles,16,22300,1394,15,0.063,Perro
3 leches,Pastelería tradicional,7,21000,3000,7,0.027,Perro
Batard multigranos,Panadería artesanal,13,20800,1600,10,0.051,Perro
Oferta cappuccino + melonpan,Ofertas,5,20000,4000,5,0.02,Perro
V60,Otros métodos de preparación,6,18000,3000,6,0.023,Perro
Oferta donas de osito,Ofertas,6,17900,3000,6,0.023,Perro
Roll cake,Pastelería tradicional,4,17500,4375,4,0.016,Perro
Oferta Pan molde frio,Ofertas,9,17200,1911,9,0.035,Perro
Chocolate manjar,Pastelería tradicional,6,16800,2800,4,0.023,Perro
TOKYO BOX (Con descuento),Sandwich,1,16200,16200,1,0.004,Interrogante
Bruselina de canela y chocolate stevia,Pastelería tradicional,5,16000,3200,5,0.02,Perro
Oferta Sausage pan,Ofertas,4,16000,4000,3,0.016,Perro
Panqueque naranja chocolate x8,Pastelería x mayor,1,15790,15790,1,0.004,Interrogante
Espresso tonic,Preparaciones frías con café,4,15200,3800,4,0.016,Perro
Streusel de frambuesa individual,Pastelería x mayor,6,15000,2500,2,0.023,Perro
Berlínes de osito,Panadería de autor,8,14270,1800,8,0.031,Perro
Pan navideño,Panadería x mayor,4,14000,3500,1,0.016,Perro
Selva negra,Pastelería tradicional,5,14000,2800,5,0.02,Perro
Pan molde blanco x mayor,Panadería x mayor,8,12800,1600,5,0.031,Perro
Oferta ensalada del día,Ofertas,3,12000,4000,2,0.012,Perro
Oferta ensalada del día + bebida o agua mineral,Ofertas,2,10000,5000,1,0.008,Interrogante
TOKYO BOX (Con descuento) waku waku set,Sandwich,1,9000,9000,1,0.004,Interrogante
Torta naranja chocolate,Pastelería tradicional,3,8600,2867,3,0.012,Perro
Pan navideño (oferta),Panadería de autor,1,8000,8000,1,0.004,Interrogante
Oferta curry de pollo,Ofertas,1,8000,8000,1,0.004,Interrogante
Oferta marraquetas,Ofertas,5,7500,1500,5,0.02,Perro
Cold brew,Preparaciones frías con café,2,6000,3000,2,0.008,Perro
Korone pan (Oferta por Unidad),Ofertas,4,6000,1500,4,0.016,Perro
Galletas de mantequilla,Galletas,4,6000,1500,4,0.016,Perro
Oferta Chocolate caliente,Ofertas,2,5800,2900,2,0.008,Perro
Oferta bolsita de dulces,Ofertas,1,5000,5000,1,0.004,Interrogante
Yakisoba pan + bebida  oferta,Panadería Japonesa,1,4500,4500,1,0.004,Interrogante
Oferta cappuccino + pan dulce relleno,Ofertas,1,4000,4000,1,0.004,Perro
Tartaletas,Pastelería de autor,1,3500,3500,1,0.004,Perro
Oferta Cappuccino,Ofertas,1,3000,3000,1,0.004,Perro
Oferta Mocaccino,Ofertas,1,2900,2900,1,0.004,Perro
LATTE ART 3D,Café,3,2100,700,3,0.012,Perro
Castella DESCUENTO,Pastelería japonesa,2,2000,1000,2,0.008,Perro
Set Stickers,OTROS,2,2000,1000,2,0.008,Perro
Leche sola,Arcade,3,1500,500,3,0.012,Perro
Leche sola,OTROS,3,1500,500,3,0.012,Perro
Monedas arcade,Arcade,7,700,100,2,0.027,Perro
Pan dulce del día (diseño varía),Panadería de autor,1,-840,1200,1,0.004,Perro
